ano,mes,dia_semana,dia_mes,hora,quantidade_pessoas,consumo_agua_m3,regiao,padrao_consumo
2020,1,quarta,1,0,3,0.13,Sul,Normal
2020,1,quarta,1,1,3,0.21,Sul,Normal
2020,1,quarta,1,2,3,0.26,Sul,Normal
2020,1,quarta,1,3,3,0.15,Sul,Normal
2020,1,quarta,1,4,3,0.62,Sul,Alto
2020,1,quarta,1,5,3,0.27,Sul,Normal
2020,1,quarta,1,6,3,2.99,Sul,Alto
2020,1,quarta,1,7,3,3.03,Sul,Alto
2020,1,quarta,1,8,3,1.58,Sul,Normal
2020,1,quarta,1,9,3,3.42,Sul,Alto
2020,1,quarta,1,10,3,3.25,Sul,Alto
2020,1,quarta,1,11,3,1.44,Sul,Normal
2020,1,quarta,1,12,3,1.67,Sul,Normal
2020,1,quarta,1,13,3,3.45,Sul,Alto
2020,1,quarta,1,14,3,2.98,Sul,Alto
2020,1,quarta,1,15,3,1.73,Sul,Normal
2020,1,quarta,1,16,3,1.13,Sul,Normal
2020,1,quarta,1,17,3,3.57,Sul,Alto
2020,1,quarta,1,18,3,0.68,Sul,Normal
2020,1,quarta,1,19,3,1.62,Sul,Alto
2020,1,quarta,1,20,3,0.18,Sul,Normal
2020,1,quarta,1,21,3,0.43,Sul,Alto
2020,1,quarta,1,22,3,0.24,Sul,Normal
2020,1,quarta,1,23,3,0.25,Sul,Normal
2020,1,quinta,2,0,3,0.27,Sul,Normal
2020,1,quinta,2,1,3,0.51,Sul,Alto
2020,1,quinta,2,2,3,0.56,Sul,Alto
2020,1,quinta,2,3,3,0.09,Sul,Normal
2020,1,quinta,2,4,3,0.2,Sul,Normal
2020,1,quinta,2,5,3,0.28,Sul,Normal
2020,1,quinta,2,6,3,1.58,Sul,Normal
2020,1,quinta,2,7,3,0.76,Sul,Normal
2020,1,quinta,2,8,3,0.86,Sul,Normal
2020,1,quinta,2,9,3,1.5,Sul,Normal
2020,1,quinta,2,10,3,1.53,Sul,Normal
2020,1,quinta,2,11,3,0.9,Sul,Normal
2020,1,quinta,2,12,3,1.49,Sul,Normal
2020,1,quinta,2,13,3,1.43,Sul,Normal
2020,1,quinta,2,14,3,0.86,Sul,Normal
2020,1,quinta,2,15,3,1.21,Sul,Normal
2020,1,quinta,2,16,3,1.06,Sul,Normal
2020,1,quinta,2,17,3,1.47,Sul,Normal
2020,1,quinta,2,18,3,1.73,Sul,Alto
2020,1,quinta,2,19,3,0.24,Sul,Normal
2020,1,quinta,2,20,3,0.57,Sul,Normal
2020,1,quinta,2,21,3,0.13,Sul,Normal
2020,1,quinta,2,22,3,0.17,Sul,Normal
2020,1,quinta,2,23,3,0.58,Sul,Alto
2020,1,sexta,3,0,3,0.26,Sul,Normal
2020,1,sexta,3,1,3,0.2,Sul,Normal
2020,1,sexta,3,2,3,0.5,Sul,Alto
2020,1,sexta,3,3,3,0.15,Sul,Normal
2020,1,sexta,3,4,3,0.29,Sul,Normal
2020,1,sexta,3,5,3,0.28,Sul,Normal
2020,1,sexta,3,6,3,3.07,Sul,Alto
2020,1,sexta,3,7,3,1.33,Sul,Normal
2020,1,sexta,3,8,3,1.49,Sul,Normal
2020,1,sexta,3,9,3,1.17,Sul,Normal
2020,1,sexta,3,10,3,0.88,Sul,Normal
2020,1,sexta,3,11,3,1.62,Sul,Normal
